example_id,category,split,method,expected_safeguard_ids,ranked_safeguard_ids,top_chunk_ids,latency_ms,recall@1,hit_rate@1,recall@3,hit_rate@3,recall@5,hit_rate@5,mrr@5,ndcg@5
seed-015,paraphrase,dev,vector,15.1,15.1;1.1;15.2;15.6;4.12,cis-controls-v8.1.2:15.1:000;cis-controls-v8.1.2:1.1:000;cis-controls-v8.1.2:15.2:000;cis-controls-v8.1.2:15.6:000;cis-controls-v8.1.2:4.12:000,52.1669,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-015,paraphrase,dev,bm25,15.1,14.7;15.1;15.7;15.6;15.5,cis-controls-v8.1.2:14.7:000;cis-controls-v8.1.2:15.1:000;cis-controls-v8.1.2:15.7:000;cis-controls-v8.1.2:15.6:000;cis-controls-v8.1.2:15.5:000,2.3339,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
seed-015,paraphrase,dev,rrf,15.1,15.1;15.6;15.2;15.5;15.7,cis-controls-v8.1.2:15.1:000;cis-controls-v8.1.2:15.6:000;cis-controls-v8.1.2:15.2:000;cis-controls-v8.1.2:15.5:000;cis-controls-v8.1.2:15.7:000,54.7514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-015,paraphrase,dev,hybrid_reranked,15.1,15.1;15.6;3.8;15.5;15.2,cis-controls-v8.1.2:15.1:000;cis-controls-v8.1.2:15.6:000;cis-controls-v8.1.2:3.8:000;cis-controls-v8.1.2:15.5:000;cis-controls-v8.1.2:15.2:000,1595.7015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-016,direct,dev,vector,16.2,16.2;17.3;16.6;16.3;2.2,cis-controls-v8.1.2:16.2:000;cis-controls-v8.1.2:16.2:001;cis-controls-v8.1.2:17.3:000;cis-controls-v8.1.2:16.6:000;cis-controls-v8.1.2:16.3:000,52.762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-016,direct,dev,bm25,16.2,16.2;16.6;14.7;17.3;2.6,cis-controls-v8.1.2:16.2:000;cis-controls-v8.1.2:16.6:000;cis-controls-v8.1.2:14.7:000;cis-controls-v8.1.2:17.3:000;cis-controls-v8.1.2:2.6:000,1.5437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-016,direct,dev,rrf,16.2,16.2;16.6;17.3;16.3;2.6,cis-controls-v8.1.2:16.2:000;cis-controls-v8.1.2:16.6:000;cis-controls-v8.1.2:17.3:000;cis-controls-v8.1.2:16.2:001;cis-controls-v8.1.2:16.3:000,54.585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-016,direct,dev,hybrid_reranked,16.2,16.2;16.6;7.7;16.3;17.3,cis-controls-v8.1.2:16.2:000;cis-controls-v8.1.2:16.2:001;cis-controls-v8.1.2:16.6:000;cis-controls-v8.1.2:7.7:000;cis-controls-v8.1.2:16.3:000,1520.4674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-017,paraphrase,dev,vector,17.2,17.2;17.6;17.3;17.9;17.8,cis-controls-v8.1.2:17.2:000;cis-controls-v8.1.2:17.6:000;cis-controls-v8.1.2:17.3:000;cis-controls-v8.1.2:17.9:000;cis-controls-v8.1.2:17.8:000,51.4098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-017,paraphrase,dev,bm25,17.2,14.6;17.6;17.2;17.3;14.7,cis-controls-v8.1.2:14.6:000;cis-controls-v8.1.2:17.6:000;cis-controls-v8.1.2:17.2:000;cis-controls-v8.1.2:17.3:000;cis-controls-v8.1.2:14.7:000,1.7574,0.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
seed-017,paraphrase,dev,rrf,17.2,17.2;17.6;17.3;14.6;17.9,cis-controls-v8.1.2:17.2:000;cis-controls-v8.1.2:17.6:000;cis-controls-v8.1.2:17.3:000;cis-controls-v8.1.2:14.6:000;cis-controls-v8.1.2:17.9:000,53.4067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-017,paraphrase,dev,hybrid_reranked,17.2,17.2;17.6;17.3;14.6;17.9,cis-controls-v8.1.2:17.2:000;cis-controls-v8.1.2:17.6:000;cis-controls-v8.1.2:17.3:000;cis-controls-v8.1.2:14.6:000;cis-controls-v8.1.2:17.9:000,1031.1126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-018,direct,dev,vector,18.5,18.2;18.5;18.1;16.13;18.4,cis-controls-v8.1.2:18.2:000;cis-controls-v8.1.2:18.5:000;cis-controls-v8.1.2:18.1:000;cis-controls-v8.1.2:16.13:000;cis-controls-v8.1.2:18.4:000,53.3534,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
seed-018,direct,dev,bm25,18.5,18.5;18.2;16.13;18.1;18.3,cis-controls-v8.1.2:18.5:000;cis-controls-v8.1.2:18.2:000;cis-controls-v8.1.2:16.13:000;cis-controls-v8.1.2:18.1:000;cis-controls-v8.1.2:18.3:000,1.6452,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed-018,direct,dev,rrf,18.5,18.2;18.5;16.13;18.1;18.4,cis-controls-v8.1.2:18.2:000;cis-controls-v8.1.2:18.5:000;cis-controls-v8.1.2:16.13:000;cis-controls-v8.1.2:18.1:000;cis-controls-v8.1.2:18.4:000,55.2559,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
seed-018,direct,dev,hybrid_reranked,18.5,18.2;18.5;18.1;18.3;18.4,cis-controls-v8.1.2:18.2:000;cis-controls-v8.1.2:18.5:000;cis-controls-v8.1.2:18.1:000;cis-controls-v8.1.2:18.3:000;cis-controls-v8.1.2:18.4:000,1490.4983,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
